__typename,advice,cons,countHelpful,employer,employerResponses,featured,hasEmployerResponse,isCurrentJob,jobTitle,lengthOfEmployment,location,pros,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingDiversityAndInclusion,ratingOverall,ratingRecommendToFriend,ratingSeniorLeadership,ratingWorkLifeBalance,reviewDateTime,reviewId,summary
EmployerReviewRG,,"Average benefits,
Short career path",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Marketing Executive'},9,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Global exposure,
Attend global conference",POSITIVE,3.0,APPROVE,3.0,4,5,3,POSITIVE,4.0,5.0,2024-06-24T22:02:26.710,88552669,Exciting
EmployerReviewRG,,"too many hierocracy, and its not good",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Career Manager'},9,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",free tickets for you and your family,NEGATIVE,4.0,DISAPPROVE,4.0,3,3,4,POSITIVE,3.0,3.0,2024-06-03T23:13:12.013,87911715,Review Garuda Indonesia
EmployerReviewRG,,Nothing is good all is bad,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,,0,,Bad pay bad everything benefits,NEGATIVE,0.0,DISAPPROVE,0.0,0,0,1,NEGATIVE,0.0,0.0,2024-07-12T05:25:52.640,89086412,Super bad
EmployerReviewRG,,"Remote office location, unpredictable industry",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Talent Management'},4,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Good place to work and support development,POSITIVE,4.0,APPROVE,5.0,3,4,4,POSITIVE,4.0,3.0,2024-06-03T15:36:04.580,87902392,Decent
EmployerReviewRG,,A little bit of salary increamenr per year,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Customer Service Associate'},9,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Having ticket rebate for whole year,POSITIVE,4.0,DISAPPROVE,4.0,4,4,4,POSITIVE,3.0,4.0,2024-03-03T15:14:04.287,84958311,Hospitality Area
EmployerReviewRG,,"- Lower salary for ground employees
- Heavy political distinction in terms of remuneration for ground employees and aircrew employees",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,,6,,"- Great place for knowledge-based management
- Great place to nurture great young people but not for a long term point",NEUTRAL,3.0,APPROVE,3.0,5,3,5,POSITIVE,4.0,4.0,2024-01-19T11:08:55.763,83534113,Periodical Review
EmployerReviewRG,,Salary is lower compared to other regional airlines,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,"{'text': 'Pilot, First Officer'}",0,,"Good Labor Union
Work life balance
Various Fleet",NEUTRAL,3.0,APPROVE,2.0,4,3,4,POSITIVE,3.0,5.0,2024-02-22T14:54:24.627,84653166,First Officer
EmployerReviewRG,,career progression is slightly lower than other company,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Safety Analyst'},0,,Cordially cultured company to work in,,0.0,,0.0,0,0,5,,0.0,0.0,2024-02-11T08:33:36.637,84270724,Good
EmployerReviewRG,,"Pension health pay every month, so the employee should be wise to manage pension health",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Senior Business Analyst'},0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Get airplane ticket every years,,5.0,,5.0,5,5,5,,5.0,5.0,2023-12-19T21:37:46.607,82734676,Additional Benefit
EmployerReviewRG,keep strong,pandemy effect that caused industry is need time for recovery,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'IT Business Systems Analyst'},9,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Ticket Consession from the company,POSITIVE,5.0,APPROVE,5.0,5,4,5,POSITIVE,5.0,5.0,2023-12-21T00:24:25.980,82767303,None
EmployerReviewRG,,"So far so good, location head office at airport",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Manager'},6,"{'id': 2768561, 'name': 'Tangerang', 'type': 'CITY'}","Benefit traveling, benefit health, flexytime working",POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,2023-12-18T06:42:49.853,82682829,-
EmployerReviewRG,,"Heavily affected by political issues, decisions are often made on the governmental wishes and not business-wise.",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Business Analyst'},20,"{'id': 2768561, 'name': 'Tangerang', 'type': 'CITY'}","Employee benefits: free tickets for you and your family, Inhealth.",POSITIVE,2.0,NO_OPINION,3.0,2,5,3,NEGATIVE,2.0,5.0,2023-11-21T02:17:03.457,81978997,Full of Politics
